"subject" "activity" "variable" "meanValue"
"1" 1 "WALKING" "Time_Body_Acceleration__Mean_X" 0.277330758736842
"2" 1 "WALKING" "Time_Body_Acceleration__Mean_Y" -0.0173838185273684
"3" 1 "WALKING" "Time_Body_Acceleration__Mean_Z" -0.111148103547368
"4" 1 "WALKING" "Time_Body_Acceleration__StdDev_X" -0.283740258842105
"5" 1 "WALKING" "Time_Body_Acceleration__StdDev_Y" 0.114461336747368
"6" 1 "WALKING" "Time_Body_Acceleration__StdDev_Z" -0.260027902210526
"7" 1 "WALKING" "Time_Gravity_Acceleration__Mean_X" 0.935223201473684
"8" 1 "WALKING" "Time_Gravity_Acceleration__Mean_Y" -0.282165021263158
"9" 1 "WALKING" "Time_Gravity_Acceleration__Mean_Z" -0.068102864
"10" 1 "WALKING" "Time_Gravity_Acceleration__StdDev_X" -0.976609642526316
"11" 1 "WALKING" "Time_Gravity_Acceleration__StdDev_Y" -0.971305961473684
"12" 1 "WALKING" "Time_Gravity_Acceleration__StdDev_Z" -0.947717226105263
"13" 1 "WALKING" "Time_Body_Acceleration_Jerk_Mean_X" 0.0740416333157895
"14" 1 "WALKING" "Time_Body_Acceleration_Jerk_Mean_Y" 0.0282721095884211
"15" 1 "WALKING" "Time_Body_Acceleration_Jerk_Mean_Z" -0.00416840617789474
"16" 1 "WALKING" "Time_Body_Acceleration_Jerk_StdDev_X" -0.113615602435789
"17" 1 "WALKING" "Time_Body_Acceleration_Jerk_StdDev_Y" 0.0670025007684211
"18" 1 "WALKING" "Time_Body_Acceleration_Jerk_StdDev_Z" -0.502699788526316
"19" 1 "WALKING" "Time_Body_Gyro_Mean_X" -0.041830963526
"20" 1 "WALKING" "Time_Body_Gyro_Mean_Y" -0.0695300462115789
"21" 1 "WALKING" "Time_Body_Gyro_Mean_Z" 0.0849448173042105
"22" 1 "WALKING" "Time_Body_Gyro_StdDev_X" -0.473535485894737
"23" 1 "WALKING" "Time_Body_Gyro_StdDev_Y" -0.0546077686594737
"24" 1 "WALKING" "Time_Body_Gyro_StdDev_Z" -0.344266629473684
"25" 1 "WALKING" "Time_Body_GyroJerk_Mean_X" -0.0899975423705263
"26" 1 "WALKING" "Time_Body_GyroJerk_Mean_Y" -0.0398428709463158
"27" 1 "WALKING" "Time_Body_GyroJerk_Mean_Z" -0.0461309295021053
"28" 1 "WALKING" "Time_Body_GyroJerk_StdDev_X" -0.207421854757895
"29" 1 "WALKING" "Time_Body_GyroJerk_StdDev_Y" -0.304468510631579
